hotel_id,city_id,city,hotel_name,score,description,url,latitude,longitude
1,1,Mont Saint Michel,Mercure Le Pré salé,4.0,Route du Mont Saint-Michel,https://www.booking.com/search.html?ss=Mercure+Le+Pré+salé,48.6142537,-1.5108723
2,1,Mont Saint Michel,Hôtel Vert,2.0,Route du Mont Saint-Michel,https://www.booking.com/search.html?ss=Hôtel+Vert,48.6149102,-1.5093502
3,1,Mont Saint Michel,Hôtel - Restaurant La Mère Poulard,3.0,Grande Rue - BP 18,https://www.booking.com/search.html?ss=Hôtel+-+Restaurant+La+Mère+Poulard,48.6350826,-1.5109144
4,1,Mont Saint Michel,Ermitage,3.0,Non renseigné,https://www.booking.com/search.html?ss=Ermitage,48.6356131,-1.5104074
5,1,Mont Saint Michel,Hôtel - Restaurant Du Guesclin,2.0,Grande Rue,https://www.booking.com/search.html?ss=Hôtel+-+Restaurant+Du+Guesclin,48.6356147,-1.5098978
6,1,Mont Saint Michel,Hôtel de la Digue,3.0,Barrage du Mont Saint-Michel,https://www.booking.com/search.html?ss=Hôtel+de+la+Digue,48.6168379,-1.5111111
7,1,Mont Saint Michel,Le Relais Saint-Michel,4.0,Barrage du Mont Saint-Michel,https://www.booking.com/search.html?ss=Le+Relais+Saint-Michel,48.6177313,-1.5103823
8,1,Mont Saint Michel,Hôtel Restaurant Le Beauvoir,3.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+Restaurant+Le+Beauvoir,48.5977691,-1.5131776
9,1,Mont Saint Michel,Le Relais du Roy,3.0,Non renseigné,https://www.booking.com/search.html?ss=Le+Relais+du+Roy,48.6163087,-1.5110769
10,1,Mont Saint Michel,Résidence MMV Le Domaine du Mont,3.0,"Route de la Baie, L'Hôpital",https://www.booking.com/search.html?ss=Résidence+MMV+Le+Domaine+du+Mont,48.5938054,-1.5963356
11,1,Mont Saint Michel,Manoir Roche Torin,3.0,Non renseigné,https://www.booking.com/search.html?ss=Manoir+Roche+Torin,48.6373639,-1.4249973
12,1,Mont Saint Michel,La Maison Rouge,3.0,Non renseigné,https://www.booking.com/search.html?ss=La+Maison+Rouge,48.6353087,-1.510657
13,1,Mont Saint Michel,Au Ptit Quinquin,2.0,Les Forges,https://www.booking.com/search.html?ss=Au+Ptit+Quinquin,48.6270958,-1.3880533
14,1,Mont Saint Michel,Les Terrasses Poulard,3.0,Non renseigné,https://www.booking.com/search.html?ss=Les+Terrasses+Poulard,48.6352034,-1.5103857
15,1,Mont Saint Michel,Hôtel Rose,3.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+Rose,48.5971697,-1.5135254
16,1,Mont Saint Michel,La Tour Brette,3.0,Non renseigné,https://www.booking.com/search.html?ss=La+Tour+Brette,48.5531869,-1.5126215
17,1,Mont Saint Michel,Auberge de la Baie,3.0,Non renseigné,https://www.booking.com/search.html?ss=Auberge+de+la+Baie,48.615971,-1.4884068
18,1,Mont Saint Michel,Hôtel L'Auberge Saint-Pierre,3.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+L'Auberge+Saint-Pierre,48.6353774,-1.509986
19,1,Mont Saint Michel,Mercure Mont Saint Michel,3.0,Non renseigné,https://www.booking.com/search.html?ss=Mercure+Mont+Saint+Michel,48.6142662,-1.5107037
20,1,Mont Saint Michel,Le Saint-Aubert,2.0,Non renseigné,https://www.booking.com/search.html?ss=Le+Saint-Aubert,48.6135922,-1.5091181
21,2,St Malo,Ibis Styles,3.0,Non renseigné,https://www.booking.com/search.html?ss=Ibis+Styles,48.6486267,-2.0239888
22,2,St Malo,Hôtel de l'Univers,3.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+de+l'Univers,48.6510826,-2.0239307
23,2,St Malo,Ajoncs d'Or,3.0,Rue des Forgeurs,https://www.booking.com/search.html?ss=Ajoncs+d'Or,48.6474678,-2.0252029
24,2,St Malo,Hôtel des Abers,3.0,Rue de la Corne de Cerf,https://www.booking.com/search.html?ss=Hôtel+des+Abers,48.6505034,-2.0248745
25,2,St Malo,Hôtel de la Houle,3.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+de+la+Houle,48.6252282,-2.1366784
26,2,St Malo,Hôtel d'Aleth,3.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+d'Aleth,48.6359308,-2.0217775
27,2,St Malo,Gîte La Ville Auray,3.0,Non renseigné,https://www.booking.com/search.html?ss=Gîte+La+Ville+Auray,48.6581057,-1.9544006
28,2,St Malo,La Vallée,3.0,Avenue George V,https://www.booking.com/search.html?ss=La+Vallée,48.6362285,-2.0484832
29,2,St Malo,Hôtel de la Porte Saint-Pierre,2.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+de+la+Porte+Saint-Pierre,48.6479494,-2.0282119
30,2,St Malo,Hôtel Mercure Balmoral,4.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+Mercure+Balmoral,48.6464714,-2.0061619
31,2,St Malo,Sezam,3.0,Non renseigné,https://www.booking.com/search.html?ss=Sezam,48.6478069,-2.0085933
32,2,St Malo,La Marinière,2.0,Non renseigné,https://www.booking.com/search.html?ss=La+Marinière,48.6470559,-2.0086227
33,2,St Malo,Ker Annick,3.0,Non renseigné,https://www.booking.com/search.html?ss=Ker+Annick,48.6470551,-2.0087773
34,2,St Malo,Le Britannic,3.0,Non renseigné,https://www.booking.com/search.html?ss=Le+Britannic,48.6472243,-2.0087038
35,2,St Malo,Hôtel de la Cité,3.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+de+la+Cité,48.6512504,-2.0251622
36,2,St Malo,La Maison des Armateurs,3.0,Non renseigné,https://www.booking.com/search.html?ss=La+Maison+des+Armateurs,48.6490907,-2.0245093
37,2,St Malo,Hôtel San Pedro,2.0,Rue du Boyer,https://www.booking.com/search.html?ss=Hôtel+San+Pedro,48.6490953,-2.0278573
38,2,St Malo,Hôtel des Marins,3.0,Rue des Marins,https://www.booking.com/search.html?ss=Hôtel+des+Marins,48.6488754,-2.0248533
39,2,St Malo,Le Nautilus,3.0,Rue de la Corne de Cerf,https://www.booking.com/search.html?ss=Le+Nautilus,48.6507279,-2.0249312
40,2,St Malo,La Maison Vauban,3.0,Rue Toullier,https://www.booking.com/search.html?ss=La+Maison+Vauban,48.6500699,-2.0268663
41,2,St Malo,Hôtel Anne de Bretagne,3.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+Anne+de+Bretagne,48.6506328,-2.0247233
42,2,St Malo,Hôtel Bristol Union,2.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+Bristol+Union,48.649602,-2.024286
43,2,St Malo,Le Croiseur,3.0,Place de la Poissonnerie,https://www.booking.com/search.html?ss=Le+Croiseur,48.6496106,-2.0245515
44,2,St Malo,Hôtel Cartier,3.0,Rue Saint-Vincent,https://www.booking.com/search.html?ss=Hôtel+Cartier,48.6500289,-2.0247872
45,2,St Malo,Hôtel Otonali,3.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+Otonali,48.6522813,-2.011459
46,2,St Malo,L'Adressse,4.0,Rue des Poulieurs,https://www.booking.com/search.html?ss=L'Adressse,48.6519467,-2.0170092
47,2,St Malo,Le Rockabilly,3.0,Boulevard de la Tour d'Auvergne,https://www.booking.com/search.html?ss=Le+Rockabilly,48.6517523,-2.0080651
48,2,St Malo,Hôtel Quic en Groigne,3.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+Quic+en+Groigne,48.6468525,-2.0270257
49,2,St Malo,Le Nessay,4.0,Non renseigné,https://www.booking.com/search.html?ss=Le+Nessay,48.6239012,-2.1428489
50,2,St Malo,Le Terminus,2.0,Non renseigné,https://www.booking.com/search.html?ss=Le+Terminus,48.6467721,-2.0086193
51,2,St Malo,Hôtel Balmoral,3.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+Balmoral,48.6330865,-2.0537661
52,2,St Malo,Hôtel Kan Avel,3.0,Non renseigné,https://www.booking.com/search.html?ss=Hôtel+Kan+Avel,48.6346355,-2.1080531
53,2,St Malo,Ar Iniz,3.0,Boulevard Hébert,https://www.booking.com/search.html?ss=Ar+Iniz,48.6619458,-1.9920722
