city_id,city,datetime,temp,temp_min,temp_max,humidity,weather,wind_speed,rain
1,Mont Saint Michel,2026-02-24 00:00:00,10.34,10.34,10.34,96,couvert,3.25,0.0
1,Mont Saint Michel,2026-02-24 03:00:00,10.25,10.06,10.25,96,couvert,3.9,0.0
1,Mont Saint Michel,2026-02-24 06:00:00,9.22,8.66,9.22,97,couvert,3.84,0.0
1,Mont Saint Michel,2026-02-24 09:00:00,10.74,10.74,10.74,90,peu nuageux,5.21,0.0
1,Mont Saint Michel,2026-02-24 12:00:00,14.78,14.78,14.78,78,peu nuageux,6.51,0.0
1,Mont Saint Michel,2026-02-24 15:00:00,16.18,16.18,16.18,77,ciel dégagé,5.18,0.0
1,Mont Saint Michel,2026-02-24 18:00:00,12.42,12.42,12.42,92,ciel dégagé,4.19,0.0
1,Mont Saint Michel,2026-02-24 21:00:00,11.07,11.07,11.07,93,ciel dégagé,4.36,0.0
1,Mont Saint Michel,2026-02-25 00:00:00,10.35,10.35,10.35,94,partiellement nuageux,4.14,0.0
1,Mont Saint Michel,2026-02-25 03:00:00,9.24,9.24,9.24,94,partiellement nuageux,3.1,0.0
1,Mont Saint Michel,2026-02-25 06:00:00,8.84,8.84,8.84,93,partiellement nuageux,3.31,0.0
1,Mont Saint Michel,2026-02-25 09:00:00,11.56,11.56,11.56,87,ciel dégagé,3.74,0.0
1,Mont Saint Michel,2026-02-25 12:00:00,16.14,16.14,16.14,71,peu nuageux,4.7,0.0
1,Mont Saint Michel,2026-02-25 15:00:00,17.37,17.37,17.37,71,peu nuageux,4.14,0.0
1,Mont Saint Michel,2026-02-25 18:00:00,13.31,13.31,13.31,88,partiellement nuageux,3.56,0.0
1,Mont Saint Michel,2026-02-25 21:00:00,11.1,11.1,11.1,93,couvert,3.53,0.0
1,Mont Saint Michel,2026-02-26 00:00:00,9.04,9.04,9.04,92,nuageux,3.25,0.0
1,Mont Saint Michel,2026-02-26 03:00:00,8.69,8.69,8.69,91,ciel dégagé,2.58,0.0
1,Mont Saint Michel,2026-02-26 06:00:00,8.41,8.41,8.41,91,ciel dégagé,2.57,0.0
1,Mont Saint Michel,2026-02-26 09:00:00,10.99,10.99,10.99,85,ciel dégagé,3.42,0.0
1,Mont Saint Michel,2026-02-26 12:00:00,15.14,15.14,15.14,69,peu nuageux,5.21,0.0
1,Mont Saint Michel,2026-02-26 15:00:00,15.78,15.78,15.78,71,peu nuageux,4.98,0.0
1,Mont Saint Michel,2026-02-26 18:00:00,11.65,11.65,11.65,87,nuageux,3.9,0.0
1,Mont Saint Michel,2026-02-26 21:00:00,9.31,9.31,9.31,92,ciel dégagé,3.59,0.0
1,Mont Saint Michel,2026-02-27 00:00:00,8.22,8.22,8.22,93,ciel dégagé,3.86,0.0
1,Mont Saint Michel,2026-02-27 03:00:00,8.37,8.37,8.37,92,ciel dégagé,5.1,0.0
1,Mont Saint Michel,2026-02-27 06:00:00,8.6,8.6,8.6,93,ciel dégagé,6.09,0.0
1,Mont Saint Michel,2026-02-27 09:00:00,11.24,11.24,11.24,85,nuageux,6.53,0.0
1,Mont Saint Michel,2026-02-27 12:00:00,13.0,13.0,13.0,85,légère pluie,6.36,0.49
1,Mont Saint Michel,2026-02-27 15:00:00,12.06,12.06,12.06,92,légère pluie,5.8,0.55
1,Mont Saint Michel,2026-02-27 18:00:00,9.65,9.65,9.65,89,légère pluie,2.69,0.38
1,Mont Saint Michel,2026-02-27 21:00:00,8.28,8.28,8.28,94,légère pluie,4.86,0.12
1,Mont Saint Michel,2026-02-28 00:00:00,8.54,8.54,8.54,94,nuageux,5.79,0.0
1,Mont Saint Michel,2026-02-28 03:00:00,7.06,7.06,7.06,96,peu nuageux,3.44,0.0
1,Mont Saint Michel,2026-02-28 06:00:00,6.3,6.3,6.3,96,peu nuageux,3.26,0.0
1,Mont Saint Michel,2026-02-28 09:00:00,8.4,8.4,8.4,89,couvert,3.34,0.0
1,Mont Saint Michel,2026-02-28 12:00:00,10.86,10.86,10.86,71,partiellement nuageux,2.98,0.0
1,Mont Saint Michel,2026-02-28 15:00:00,11.65,11.65,11.65,66,nuageux,2.26,0.0
1,Mont Saint Michel,2026-02-28 18:00:00,9.32,9.32,9.32,78,nuageux,1.99,0.0
1,Mont Saint Michel,2026-02-28 21:00:00,6.99,6.99,6.99,88,nuageux,3.65,0.0
2,St Malo,2026-02-24 00:00:00,11.29,11.29,11.32,93,ciel dégagé,4.73,0.0
2,St Malo,2026-02-24 03:00:00,10.82,9.88,10.82,94,partiellement nuageux,4.91,0.0
2,St Malo,2026-02-24 06:00:00,9.84,9.11,9.84,95,partiellement nuageux,5.32,0.0
2,St Malo,2026-02-24 09:00:00,10.33,10.33,10.33,89,ciel dégagé,6.16,0.0
2,St Malo,2026-02-24 12:00:00,13.97,13.97,13.97,79,ciel dégagé,6.72,0.0
2,St Malo,2026-02-24 15:00:00,15.24,15.24,15.24,77,ciel dégagé,5.37,0.0
2,St Malo,2026-02-24 18:00:00,12.67,12.67,12.67,90,ciel dégagé,4.39,0.0
2,St Malo,2026-02-24 21:00:00,10.96,10.96,10.96,93,ciel dégagé,4.16,0.0
2,St Malo,2026-02-25 00:00:00,10.31,10.31,10.31,94,partiellement nuageux,4.31,0.0
2,St Malo,2026-02-25 03:00:00,9.49,9.49,9.49,94,ciel dégagé,3.43,0.0
2,St Malo,2026-02-25 06:00:00,9.01,9.01,9.01,94,peu nuageux,3.32,0.0
2,St Malo,2026-02-25 09:00:00,10.66,10.66,10.66,89,peu nuageux,3.49,0.0
2,St Malo,2026-02-25 12:00:00,14.68,14.68,14.68,75,peu nuageux,3.86,0.0
2,St Malo,2026-02-25 15:00:00,16.26,16.26,16.26,72,partiellement nuageux,4.27,0.0
2,St Malo,2026-02-25 18:00:00,13.52,13.52,13.52,86,partiellement nuageux,4.08,0.0
2,St Malo,2026-02-25 21:00:00,10.46,10.46,10.46,89,ciel dégagé,4.58,0.0
2,St Malo,2026-02-26 00:00:00,10.12,10.12,10.12,86,peu nuageux,3.59,0.0
2,St Malo,2026-02-26 03:00:00,9.63,9.63,9.63,88,ciel dégagé,3.17,0.0
2,St Malo,2026-02-26 06:00:00,9.19,9.19,9.19,90,ciel dégagé,3.19,0.0
